Block Access (block_access),Enabled,7.x-1.6
Content Access (content_access),Enabled,7.x-1.2-beta2
Content Access Rules Integrations (content_access_rules),Not installed,7.x-1.2-beta2
Node view permissions (node_view_permissions),Not installed,7.x-1.6
Actions permissions (VBO) (actions_permissions),Not installed,7.x-3.3
Administration Development tools (admin_devel),Not installed,7.x-3.0-rc5
Administration menu (admin_menu),Enabled,7.x-3.0-rc5
Administration menu Toolbar style (admin_menu_toolbar),Enabled,7.x-3.0-rc5
Administration views (admin_views),Not installed,7.x-3.0-rc1
Coffee (coffee),Not installed,7.x-2.0
Filter permissions (filter_perms),Not installed,7.x-1.0
Module filter (module_filter),Enabled,7.x-2.1
Biblio (biblio),Not installed,7.x-1.0-rc7
Biblio - BibTex (biblio_bibtex),Not installed,7.x-1.0-rc7
Biblio - CiteProc (biblio_citeproc),Not installed,7.x-1.0-rc7
Biblio - Crossref (biblio_crossref),Not installed,7.x-1.0-rc7
Biblio - EndNote Tagged (biblio_tagged),Not installed,7.x-1.0-rc7
Biblio - EndNote XML (biblio_xml),Not installed,7.x-1.0-rc7
Biblio - MARC (biblio_marc),Not installed,7.x-1.0-rc7
Biblio - PubMed (biblio_pm),Not installed,7.x-1.0-rc7
Biblio - RIS (biblio_ris),Not installed,7.x-1.0-rc7
Biblio - RTF (biblio_rtf),Not installed,7.x-1.0-rc7
Bulk Export (bulk_export),Not installed,7.x-1.12
Chaos tools (ctools),Enabled,7.x-1.12
Chaos Tools (CTools) AJAX Example (ctools_ajax_sample),Not installed,7.x-1.12
Chaos Tools (CTools) Plugin Example (ctools_plugin_example),Not installed,7.x-1.12
Custom content panes (ctools_custom_content),Not installed,7.x-1.12
Custom rulesets (ctools_access_ruleset),Not installed,7.x-1.12
Page manager (page_manager),Not installed,7.x-1.12
Stylizer (stylizer),Not installed,7.x-1.12
Term Depth access (term_depth),Not installed,7.x-1.12
Views content panes (views_content),Not installed,7.x-1.12
Chart API (chart),Not installed,7.x-1.1
Chart API Views Integration (chart_views),Not installed,7.x-1.1
Drupal System Charting (system_charts),Not installed,7.x-1.1
Charts (charts),Not installed,7.x-2.0-beta5
Google Charts (charts_google),Not installed,7.x-2.0-beta5
Highcharts (charts_highcharts),Not installed,7.x-2.0-beta5
Datasource Aggregator (datasources_aggregator),Not installed,7.x-1.0-beta2
Datasource dummy (datasources_dummy),Not installed,7.x-1.0-beta2
Datasources (datasources),Not installed,7.x-1.0-beta2
Udid Dummy Datasource (udid_dummy),Not installed,7.x-1.0-beta2
Unique (by) Datasource Identifier (udid),Not installed,7.x-1.0-beta2
Context (context),Not installed,7.x-3.7
Context layouts (context_layouts),Not installed,7.x-3.7
Context UI (context_ui),Not installed,7.x-3.7
Aggregator (aggregator),Not installed,7.64
Block (block),Enabled,7.64
Blog (blog),Not installed,7.64
Book (book),Not installed,7.64
Color (color),Not installed,7.64
Comment (comment),Not installed,7.64
Contact (contact),Not installed,7.64
Content translation (translation),Not installed,7.64
Contextual links (contextual),Enabled,7.64
Dashboard (dashboard),Enabled,7.64
Database logging (dblog),Enabled,7.64
Field (field),Enabled,7.64
Field SQL storage (field_sql_storage),Enabled,7.64
Field UI (field_ui),Enabled,7.64
File (file),Enabled,7.64
Filter (filter),Enabled,7.64
Forum (forum),Not installed,7.64
Help (help),Enabled,7.64
Image (image),Enabled,7.64
List (list),Enabled,7.64
